"Response","tweets"
"negative","russian blue  cat staring  iphone 6 plus  case  https   t co nodr9oluxn https   t co 7nirkcrhs1"
"negative"," whatsapp 2 yrs ago i moved from apple to samsung  i remember the hassle that i couldn t transfer my chats to the  https   t co vxk4lfkerq"
"positive","rt  donatelife  95k people are on the national transplant waiting list  waiting for a donor kidney  amp  a 2nd chance at life  here s how you c "
"positive","promote your  apps on  facebook on my page about  iphone and  android to 155k fans for  5  fiverr https   t co 8zgob9f98b"
"positive","rt  imexxproducts  mouse pad https   t co kgxjs5cdhd  imexx  new  florida  ventas  cables  audios  iphone  gadget  tech  peopleinspiredprod "
"positive","found this with prayers  amp  blessings daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co cq7i8vznch"
"positive","rt  appwebstudios  be a master of business game  business  entrepreneur  api  js  css  success  ui  ux  webdesign  webdevepment  mobileapp "
"positive","hey gamers  will you being subscribing to apple arcade this fall       https   t co rmnfhcq313   apple  applearcade  https   t co imlh8377qe"
"positive","rt  ulakcases   select iphone cases on sale  buy now  https   t co zpjvyuwt6q dual layer pc hard back  amp  flexible silicone inner core protec "
"positive","flexible sponge mini tripod stand iksmarkets   things and more shop   https   t co db18q66btq tag  follow and share  https   t co zb61v64mre"
"positive","playing around with my new phone  new  selfie  iphone  iphonexmax  picture  photo  pic  pics  photograph  https   t co u7kruhmzt0"
"neutral"," nowplaying electro world by perfume on  audiogate  iphone https   t co hogtdccece"
"positive"," realelithegreat what s up with new  iphone   "
"positive","for  iphone xs lcd digitizer all our products have been checked and packed in good condition  applespareparts  https   t co qglocyljn4"
"neutral","it s april 05  2019 at 11 30pm   metropcs    tmobile  device  unlock  application on sale swiftunlock   samsung  iphone  apple  lg"
"positive","price drop   dot line  on sale for  iphone  ipad  0 99  gt  gt  free https   t co t5082aygwi https   t co l7oqd9hvcq"
"positive","oyosuogg wireless bluetooth keyboard compatible with 2018 ipad pro 11 12 9 10 5  ipad air  ipad mini  iphone and ot  https   t co ch89ntjkuk"
"neutral"," quiztimemorningswithamazon  iphone xs hardeep https   t co tscbndz95s"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 6wistmteeu"
"positive","rt  cellcrazy  save yourself some money with us and purchase a second hand iphone 7 plus   the refurbished iphone 7 plus comes with a 180 d "
"negative","  apple    tim cook  i hope this is not the new  iphone it looks horrible  stoptheleaks  https   t co 5ar1pjwqzq"
"neutral","caribbean pink flamingo bird  iphone case https   t co fjfdnm04zy via  thecatinblack  family   iphone case https   t co sjryknhn2l"
"positive","found this crystal glass ball at home earlier today     iphone  sphere  glassball  photooftheday   coventry  united  https   t co ojoyq5yars"
"negative","rt  srenderr  well    i kinda like it  but hate it too  i can t explain this    apple  iphonexl  iphone  iphonexsmax   iphone2019 https   t "
"positive"," oneplus7 may come in gradient colors with popup selfie camera       technology  tech  innovation  business  iphone  https   t co ukn5umkzcg"
"positive","i finally had to remove this wallpaper from my  iphone  it took me ages to find the app i was looking for   https   t co zm5zyyhub6"
"neutral","so i guess my girlfriend s a photographer        vashtiphotos  butshedoesnthaveaninsta  photography  portrait  https   t co ng7mwjd5gf"
"positive","going to the gym is great for your body  but it s also great for your mind   health  workout  diet  fit  fitfam  https   t co 7m36ep5eyk"
"negative","apple wants to add bo detection to  iphone and  applewatch   cult of mac https   t co jblktcl21e https   t co n0slb2x3ro"
"neutral","https   t co hqhvgvozhx is selling  smartphones  accessories  case  screen glass   headset   headphones  car phone  https   t co 1dgfeey50u"
"positive","exciting  we have a new update  soon to be released  a game changer in the world of social media platforms    besty  https   t co 4diacctoiw"
"positive","2019 iphone lineup rumored to include two new models with triple lens cameras via  macrumors  iphone  https   t co 5bui1uxgiq"
"positive","rt  robcounts  i just wanted to take this time to officially thank apple for creating the hardware that spies on us all   monitoring  apple "
"positive","so did anyone else know you can put stickers on messages    iphone  apple  awesome  quirk  stickers  animoji https   t co ia3ig6b2nw"
"positive"," iphonecase  iphone  apple  smartphonecase funny pig image iphone case just  12 98 https   t co e3h7nucwfm"
"positive","decent battery life would be nice    time2talk  time2talkswansea  mobilephones  phonerepairs  apple  iphone  https   t co s0dauo0dgx"
"neutral","it s april 05  2019 at 02 00am  still looking to  unlock  gsm  phone  xsmax xs xr  unlockfusion  unlocks  apple  https   t co wbkokah9p6"
"positive","we ve rounded up the best  iphone  deals  here s where to snap up the steepest discounts  https   t co lcn86leacr https   t co iqyr8xd1dv"
"positive","rt  giveaway top    20 iphone xs  amp  xs max giveaway    jet black xs   gold xs max    rt  follow us    register here    gt       go    https   t "
"positive","price drop   tennispoint  on sale for  iphone  ipad  0 99  gt  gt  free https   t co uva2jgoptp https   t co wtzosmirz5"
"positive","if you like watching ads there s a talent for that   in the wealth tree  indiedev  gamedev  indiegame  gaming  https   t co luketjfn34"
"positive","guaranteed fun photo s with these ios apps   https   t co yexio39atz  iphoneography  iphone  photography"
"negative","apple stepping up in house 5g modem production after conflict with intel  read more  https   t co wulggwflqr  https   t co dvwpqr6eku"
"negative","cacoteo radio no app needed to listen visit https   t co 85q6anhlc8 and hit play  iphone  android listen anywhere n  https   t co wkzuct1klz"
"positive","new designs at https   t co 9ho9upd9uy  art  phonecases  customphonecases  customphonecase  iphone  iphonecases  https   t co h47rnt839y"
"positive","i just re added the readline function to my  hello world  app  once i realized what it does   swift  ios  iphone"
"positive","rt  davkauk1  good morning london    earth  wish  trees  life  love  happy  wonderful places  iphone  photogram  https   t co zr0isy2otq"
"neutral","source  waymo is seeking financing from outside investors such as the german automaker volkswagen  amir efrati the  https   t co tyk67qgghx"
"negative","apple cuts the price of iphone xr in india for limited time period  thank you     apple  iphone  iphonexr  india  https   t co m2oadneu62"
"neutral","earphone organizer  get it here     gt  https   t co 4ev9lg9bxp    cellphone  iphone  mobile  phone  apple  smartphone  https   t co vqhei0gwk9"
"positive"," bible verse found with uplifting psalms daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co w2rhxacnnx"
"neutral","goodbye horses  qlazzarus  musiclover  photography  iphone  magestic  signal  guiltypleasures  elpaso  texas  us  https   t co nfqhx0odmk"
"positive","13  iphone apps that pay you to get fit and exercise  https   t co 8axh8j7raa"
"neutral","words with friends  iphone  bayarea  oakland  netheads https   t co 37x2jdxjnm"
"positive","hey guys  videos in https   t co hk4n7mbdkg  shopping  price  money  coupon  tv  video  aws  prime  primevideo  https   t co 7x8wr6btw0"
"negative"," apple  tim cook when are you going to make a  triggered  iphone emoji  it would be amazing  perhaps start with  https   t co a7nef0s0vz"
"positive","  repairs   your loved  one on the spot     need a  fast  time  onthespot  damage  phone  screen  repair in  sydney  https   t co mt2gn8drcy"
"positive","friendly orange tabby cat  iphone wallet case https   t co znvymxp25m via  thecatinblack  family  phone https   t co wtsr1qokab"
"positive","recalling some shots from last december trip to peradeniya botanical garden                                   https   t co khhswyh4w2"
"positive","dolostar referral code   download dolostar fantasy  app   play win cash https   t co gts2abaysi  android  iphone"
"negative"," sydneywgreaves  mosaicgonewrong thanks for the feedback  if you don t need a towel  we also have the design on mob  https   t co ylglrjjjgt"
"positive","rt  141 games  kickball dribble  free now on  itunes  sundaymorning  iphone  soccer  appstore  games  indiegame  indie  mobilegame  videoga "
"positive","watch this video and follow the link to win iphone   iphone  giveaways  giveaway  internationalgiveaways  https   t co hwr9nuhblo"
"negative","dodge hellcat srt8 logo hard plastic case for iphone 5 6 7 8 x plus se  https   t co lpjdfrijwn via  ebay  https   t co a9h3crqp7w"
"positive"," rocks  ocean  cliffs  nsw  visitnsw  exploreaustralia  travelaustralia  iphone   tathra  new south wales https   t co 4loortusj6"
"positive","things  apple has taken out of the  iphone that i use a lot    touchid   headphone jacks   bluetooth indicator   tu  https   t co ctviu9ntgh"
"positive","bergerac here we come    transavia  france  flying  boeing  b737  green  rotterdam  blue  sky  airport  iphone  https   t co lfvq8mpcis"
"positive","new photos app tip https   t co dyelsjlxkb via  debbiebugezia  bloggers  blogs  iphone"
"positive","  i am free and stunning like a flamingo        likeforlikes  likeforfollow  follow  followtrain  instapic  iphone  https   t co vfsl83yg2h"
"neutral","nowplaying   yellowjacket   droner s tune  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"positive","one of the best old episodes of  bigbangtheory is on  kpth44 that features raj getting the  at the time  new  https   t co ihwlc0ll58"
"positive"," iphone  samsung looking for amazing mobile marketing facts then this one is for you   digitalmarketing  https   t co gjsv6ktb0e"
"positive","rt  sdibayarea  looking for an  iphone  mobileapplication to reach the premium range of customers  talk with the experts today at   1 408 8 "
"positive","rt  dillinger4010  easter is coming     wahooo    it s time for a new  iphone         lovemagenta  telekomwall https   t co xpvzqwhgnv"
"negative","i have an extra  windowsphone if the current i have in use stop working or get broken     however i have and  https   t co 1ei9w1a0t1"
"positive","got a minute  that s all it takes to order quality prints from  adoramapix from your smart phone  check out our  ho  https   t co hbe0d010vr"
"positive","rt  greatleebon  must buy     huaweip30  huaweip30pro  galaxys10  galaxys10plus  iphonexs  iphonexsmax   huawei  samsung  iphone https   t  "
"positive","rt  leehillerdesign                 hamsa on gold  tshirts  hats  cufflinks  iphone case  tie  flask  onesie  https   t co zqwvr9rtrc https "
"positive"," bible verse found with uplifting psalms daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co kr8yi7hyr3"
"positive","keep your secret photos  amp  videos hidden on the iphoen with photo safe   secret  app  photo  video  iphone  nightrts  https   t co kadszjw7ci"
"negative","ghost story                            instagram  instagood  picoftheday  building  walk  weekend  old  house  https   t co sabcues345"
"negative","rt  mommyof2qts   apple  iphone 5 invisible shield full body original scratch protector film zagg https   t co ngwycn3xhe"
"neutral","rt  techinrl  how to reset your airpods  https   t co adzofj0xth  airpods  airpods2  airpods2  airpods2  airpods  iphone  apple"
"positive","it s hard to succeed in  nfc and  connectedthings if the  iphone won t read your nfc chip  we always thought thinfi  https   t co o0asftoukx"
"positive","rt  elonaccessories  unlike other cars with keypad   teslamodel3 touchscreen feels an extension of my  iphone and makes it super easy on ca "
"positive","today  the fastest growing paid app in the us    is  rolando  royal edition   it grew 64 points   to reach the numb  https   t co mpobg6c2fi"
"positive"," bible verse found with uplifting psalms daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 2pieerava2"
"positive","big size tote casual handbag iksmarkets   things and more shop   https   t co db18q66btq tag  follow and share   https   t co 8omhwfvczk"
"positive","everything we know about apple s new phones  including two way wireless charging     iphone  apple  appl  https   t co n8qrup177m"
"positive","a smart 5g kitchen doesn t hide the web  or ignore 250 million legacy ipads  https   t co 5vecpxtrgu  mafs  ibm  ai  https   t co thjznrpjuh"
"negative","space galaxy designed iphone cases  tempered glass covered  iphone case  shock proof  dirt resistant  anti knock   https   t co sxolajcanm"
"negative","episode 18 is finally here and it covers so much  we had to split it in two  so here s part one where the guys talk  https   t co on0pikjrte"
"positive","rt  redappletech  what are the prominent trends of  iphone app development in 2019  good read at  https   t co xtrij24et1   iosappdevelopme "
"negative","you re an easy robbery target if you walk at night with earphones in your ears   iphone  deadgiveaway"
"neutral","iphone app  timetable of life  know the time given to you https   t co qunnyiu5rl  diary  health  horoscope  https   t co fc4ekngzuu"
"positive","i am listening to  kingstone   smooth mama   pop and rock music radio        https   t co vfau1g2z3y    applemusic  https   t co dgdstgtpne"
"positive","apple arcade   apple event march 25  2019   https   t co 3tfaqhfahq   appleevent                 applearcade  https   t co vitxj20ma8"
"neutral","red woods   beth by monique  redwoods  california  selfportrait  exploretocreate  intention of 207 of 365 as i expl  https   t co zqokiko9ir"
"neutral","aso of  googleplay  iphone apps and games https   t co cvx3lzt7bl  startup  blockchain  entrepreneur  socialmediaconclave2"
"positive","hey guys  fashion in https   t co rpgttodmsn  shopping  price  money  coupon  tv  video  car  aws  prime  https   t co he7vg5sjaf"
"positive","hey guys  videos in https   t co rpgttodmsn  shopping  price  money  coupon  tv  video  aws  prime  primevideo  https   t co 0y5zc0ja7f"
"negative","beware of too much computer  amp  phone blue light at night https   t co 2wzuaae6u8      computer  tablet  smartphone  https   t co qifk5sjglk"
"positive","we ve got loads of phones available to buy with loads of ways to pay  you could buy outright  pay monthly or trade  https   t co 2nxpdr6m3z"
"positive","top selling  prescription  drugs  11   januvia  12   lantus  13   prevnar13  14   opdivo  15   neulasta  https   t co san0n5codm"
"negative","do you leave your phone plugged in and charging at night   apple  iphone  tech  ios  siri  airpods https   t co xnairkrgzf"
"neutral","honduras map painting printed iphone cases and covers   https   t co s4kmuxmyvr   honduras  hondurasmap  https   t co aadefmza41"
"positive","moment and ultralight can actually pull off some great filmic looks  color grade me impressed  momentapp  https   t co 1emzrjpth2"
"positive","rt  freshartclothes  buy any hoodie or sweater and receive a t shirt valued at  24 95 absolutely free  skating  fashion  fashionnova  karda "
"neutral","need  phonecases design by ralufineart  check this out     phones  iphone  iphonexr  iphone8  iphonex  galaxys10  https   t co lkrmti5y3x"
"positive","new i7s tws mini bluetooth 5 0 earphones headphones stereo bass wireless headset air ear pods earbuds with mic for  https   t co k2mkogpxb3"
"neutral","my apple original leather case for iphone xs max after 6 months   https   t co x3jskbxw4s   apple  iphone  case  https   t co raqhw2iz2j"
"positive","rt  igeeksblog  complete guide to use  applenews app on  iphone and  ipad https   t co wxgvzpdj4u"
"negative","space galaxy designed iphone cases  tempered glass covered  iphone case  shock proof  dirt resistant  anti knock   https   t co tdp3fjxgit"
"positive","phone tripod  flexible cell phone tripod adjustable camera stand holder with wireless remote control and universal  https   t co hzxi9zk5is"
"positive","rt  blogosum   deals  239 99 usd   apple watch 38mm series 3 gps   cellular with sport band mqjn2ll a https   t co b0o2weufeo  ebay  amazon "
"positive","apple iphone 2020  exclusive first look       like   share   comment          apple  iphone  appleiphone  iphonex  https   t co plmwfvajkm"
"positive","this is some great  history  historichomes  1924  old  classic  awe  awesome  homes  buildings  photo  iphone  https   t co 3jqnqqrb8b"
"positive","buy ball journey   endless fun arcade game https   t co by3wjmaqml for  iphone  amp   ipad  itunes  appstoregames  https   t co ho817mzrhf"
"negative"," apple update 12 2 issue with email    iphone not able to connect to server while using wifi  email not able to con  https   t co uqnznztzm7"
"neutral","rt  nameteria  https   t co rb9khvcjfx for sale  app  apps  software  ios  android  ipad  iphone  mac  google  apple  amazon  facebook  mic "
"positive","download doulci activator  for unlock icloud free   https   t co xkwftyjw8n    iphone bloqued   solved   dns  https   t co xagyg3sadx"
"positive","there is no way to capture this on an  iphone  so i cranked up the filters to show a little of what the  sun is doi  https   t co ok5pjmkbap"
"positive","rt  radim kacer  solaris gradient  for solaris  wallpaper  original  hdwallpaper for  phone  free  download https   t co tlvijnacoh   scree "
"positive","i m now lesson planning with planboard on my iphone  https   t co wejg5ywco4 via  planboard  chalkdotcom  edtech  edchat  iphone"
"negative","there s one thing that makes a dream impossible to achieve   the fear of failure   mondaymotivation  storagedevices  https   t co 3zv1tfcpcs"
"negative","proverbs trivia quiz   ios source code   https   t co r50ude1mkd via codester  triviaquiz  3wordguessing   iphone  https   t co ncgvf43htg"
"positive","the top 12 best lease cell phone no credit check required  follow the complete guide here for more information   https   t co m1s1i5ratf"
"positive","hey guys  fire tablets https   t co 2ij5ontciy  shopping  price  money  coupon  car  tv  video  aws  prime  https   t co ewzoidmkbc"
"neutral","fries day night  x x x  me  selfie  pic  night  friday  midnight  men  guy  beard  curlyhair  latino  messyhair  https   t co 16mr8tvmgo"
"positive","hey   apple      tim cook    flip  iphone sounds amazing     give us smartphone that looks like a little laptop wit  https   t co xogievcmvh"
"neutral","under my thump  therollingstones  musiclover  photography  iphone  magestic  signal  guiltypleasures  elpaso  texas  https   t co 5ip6hnpaec"
"positive","i am listening to  taylor dane   prove your love   variety oldies radio        https   t co 0lw7zntkt4   music  https   t co edyrwj1r3f"
"positive","rt  kristalscorner  check out 3 pack nomad apple iphone x   xs horween leather clear case  nomad  apple  iphone  iphonex  iphonexs  giftide "
"positive","epic will continue to sign exclusives  even for games already on steam   we don t want to do that ever again   epic  https   t co q5emnetjj4"
"negative","undo redo on the iphone https   t co jbnkrp7zkk  iphone  apple  ipad"
"neutral","are you looking for an  apple  iphone  samsung  lg  zte  nokia  unlock code it s april 08  2019 at 12 05am  swiftunlock"
"positive","wet hair done care    happysaturday  chillout  bedroom  lastweektonight  iphone  chillout https   t co 5hjall1l46"
"neutral","updated area calculator app https   t co xzqzroyd9b  math  techtalk  iphone  ipad  mathchat  tech  geometry  algebra  edtech  edchat"
"negative","anyone with an  iphonexr   since getting it  have you been experiencing connection issues more so than usual   my i  https   t co klwfowzba6"
"negative","life s a bitch but she s mine           april  nyc  spring  fashion  mensfashion  hair  hairgoals  hairstyles  me  https   t co jl7sxeya1d"
"positive","20  off   xenvo pro lens kit for  iphone and android  macro and wide angle lens with led     https   t co er4cejjtys https   t co na1q0kytyx"
"positive","what would happen if you gain so much weight and your phone doesn t recognize you anymore to unlock itself      all  https   t co yqydyc92to"
"positive","morning babies i m online all day giving away iphone xmas first 20 babies to like  rt  and follow stand the chance  https   t co ig6autz7sb"
"negative"," samsung galaxy s10e or  iphone xr  battle of the budget stars  https   t co psgmqq4ycx"
"negative","rt  arpit rathi  over 2 weeks  applesupport has not resolved a  software glitch on my  iphone my phone is completely dead     cc  apple     "
"positive","2019  iphone rumors  everything we know about  apple s new phones  including two way wireless charging  https   t co 1pbn3m8wfu"
"neutral","rt  ar72014   wallpapers  homescreen  lockscreen   download my last bands  wallpaper for     iphonexsmax     iphonexr    iphonexs     iphon "
"neutral","left from a  screenrepair  bankofamerica  bankofamericatower and had to come take a look  this is the kind of day  https   t co l3wwc58hck"
"neutral","price drop   ticket to earth  on sale for  iphone  ipad  4 99  gt  gt   3 99 https   t co 2gkq0i3vma https   t co srjar4nzjb"
"neutral"," patanguli   abadaaki heheheheh so u are the one hu took my side chick s   iphone      since  iphones  have no lega  https   t co nqqwcu0czl"
"negative","leftover  raindrops on the bushes in the  backyard this chilly morning  wnep  amnewsers  iphone  nepa https   t co hiuvqcv31q"
"positive","it s april 07  2019 at 09 45am  good morning unlocker  we unlock all  apple  iphone 7   7 plus  sprint  tmobile  att instantunlock  nfb"
"negative","cacoteo radio no app needed to listen visit https   t co 85q6anhlc8 and hit play  iphone  android listen anywhere n  https   t co n8uob6tu3a"
"positive","last year  we wrote an article   review of the iphone x   late but still relevant  https   t co kqh6awithb  iphone  https   t co wwaaqfuwos"
"negative","rt  toby1525   samsung galaxy s10e or  iphone xr  battle of the budget stars  https   t co psgmqq4ycx"
"positive"," dream11 hi  would it not be possible to view the playing xi in dream 11  ios  iphone "
"neutral","what      ohnoyoudidnt  iphone    fashion  businesswoman  womenintech  photographer  makeup  makeupartist  modeling  https   t co znv7pguyi2"
"neutral","it has been a while but hey  when the moment takes you  wexmondays  fsprintmonday  iphone https   t co gdwuxh5wtj"
"positive"," sunset above the  trail  iphonexsmax  iphone  iphoneography https   t co jnvgsalzmc https   t co ka6te7wi3a"
"neutral","rt  fixmybrokenmac  if your heading to day 2 of the  reiss sale  pop in with your  iphone  amp  we can  fix it whilst you  shop or bring in you "
"neutral"," i ll give you a hand         qoutes  shirt  iphone  snapchat  apple  jjang  glasses  haorits  filter https   t co cbb6gire7w"
"positive","price drop   your gps location finder   on sale for  iphone  ipad  1 99  gt  gt  free https   t co pwl4zidvu5 https   t co 2jh9lxbglg"
"negative","i can barely afford the financing for my  iphone  but i desperately need something to use as a programming tool  i  https   t co fi8veyndfw"
"neutral","64gb apple iphone 8 plus for  529 at gazelle   170 off  no contract  30 day return   apple  iphone  iphone8plus https   t co zlwdp7neil"
"neutral","buy find the pair   memory based card matching game https   t co uqawc7wavp for  iphone  amp   ipad  itunes  https   t co 8383bbamtn"
"positive","rt  intechent  can we sit back and admire apple and other phone companies for how expansive and impressive the camera applications have bec "
"positive","i m taking today as a day to thank y all  follow my lead and thank them below    likeforlikes  likeforfollow  https   t co zpg48xqdiq"
"negative"," medsminders  meds reminder won t let you miss taking your meds with alarms even personal voice recordings for  https   t co etsnh42l1v"
"positive","top selling  prescription  drugs 6   herceptin  7   eliquis  8   avastin  9   remicade  10   xarelto  medsminders  https   t co xrbyddmklm"
"positive","apple iphone xr promotional offer  additional 10  cashback on hdfc customer  walk in to our stores for more informa  https   t co nlqhyfcsuq"
"neutral","lg reveals android 9 0 pie update schedule for v30  v35 and v40 thinq   iphone https   t co bokkso41ag https   t co 1axwaeqayb"
"negative","country and capital quiz   ios source code   https   t co qkfd7kyyua via  codesterhq    triviaquiz  3wordguessing  https   t co qiyvdz4gm6"
"positive","apple cant help  how a molecular biologist trained stay at home moms to recover lost  iphone photos https   t co n8o8bqfdaz  tweet4mee"
"neutral","are you looking for an  apple  iphone  samsung  lg  zte  nokia  unlock code it s april 06  2019 at 12 01am  swiftunlock"
"negative","rt  digislice    leaked  alleged schematic and rendering of  apple s 2019  iphone with triple rear camera system  iphoneix https   t co 85a "
"negative","rt  charles  sky   unlike many exploits  karma did not require a target to click on a link sent to an  iphone  they said   apple declined t "
"positive","it s april 05  2019 at 09 45am  good morning unlocker  we unlock all  apple  iphone 7   7 plus  sprint  tmobile  att instantunlock  nfb"
"neutral"," apple  iphone xr and apple iphone x which one should you buy   huge price drop of rs  17 000 in india details here  https   t co e5othyjwjk"
"positive","a newly published survey of 8 600 u s  teens found that a higher number than ever  86 percent  are hoping to make  https   t co yjwzctlepb"
"neutral","rt  blogosum   deals  124 99 usd   apple iphone 6 4 7  16gb  factory gsm unlocked at amp t   t mobile  smartphone https   t co tuj80146k9  ebay "
"positive","rt  redmondpie  how many of you have tried this new feature in ios 12 2   iphone  appletv  airplay2  ipad  apple https   t co tksqfxqkns"
"positive","custom electronics oh well  thanks for looking   turtle  turtles  samoa  southpacific  aquaman  projectrock  galaxy  https   t co 4pyx7nzzfm"
"negative","rt  djtito  cacoteo radio no app needed to listen visit https   t co 85q6anhlc8 and hit play  iphone  android listen anywhere now    reggae "
"positive","rt  ale ciapala  what gliding swiping keyboard do you recommend for ios  i am missing this feature   seekingadvice  recommendations  help   "
"positive","very happy to start our new brand x store which allows the followers to buy their fascinated mobiles at a excited d  https   t co cvujnlfgpj"
"positive","homekit101  how to create a temperature based automation  https   t co eiy2ydaegv  homekit  ios  iphone  apple  https   t co zowhqq8nkp"
"neutral","nowplaying   skalpel   theme from  behind the curtain   https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"positive","rt  bitcommander  hide photos on  iphone with photo safe   app  ios  privacy  video  gdpr  relay rts  https   t co kadszjw7ci"
"positive","here s a recolor done in my favorite color scheme  https   t co 4dy2teifsj  redbubble  abstractart  art  designer  https   t co bnygdcou7s"
"neutral","one of largest mobile phone parts in canada  https   t co 1s8vf6fmqo  cell  phone  parts  samsung  lg  motorola  https   t co vamm46hglx"
"positive","setup apple watch on your new iphone  https   t co uqdurxvt4a  applewatch  applewatchseries4  iwatch  iphone  https   t co wun0g4oyyp"
"positive","our  foxicadventure game is now available for  iphone   https   t co bq4phns378  madewithunity  indiegame  gamedev  https   t co iukmooes3n"
"positive","rt  gbstechnologies  hey gamers  will you being subscribing to apple arcade this fall       https   t co rmnfhcq313   apple  applearcade  g "
"positive"," xiaomi mi 9 vs  iphone x camera test now live  who does it better    https   t co jqi6l9tnwm https   t co zard56g6xh"
"positive","2019 iphone lineup rumored to include two new oled models with triple lens cameras https   t co qsybtczdft via  https   t co i9t8ftqxtu"
"positive","wow   what a great little  microphone for  socialmedia  videomarketing with an  iphone or  ipad  sorry  only  ios d  https   t co 019lxr13h9"
"positive","the avanco hear   affordable hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  gadgets  https   t co wv7kgosdul"
"positive","get 25  off everything   decor  unique  design by kathrinmay https   t co gnzlhal64m via  society6  society6  https   t co cgdrrgbmaf"
"negative","found one of those classrooms in an ice cave     college  collegecampus  snow  powder  weather  winter  colorado  https   t co cv4vzw7ria"
"neutral","rt  mitmatas                  iphone xr    worldwide     rt this tweet   follow me   two friends    subscribe to my youtube chanel  https   "
"positive","floral patterned case for iphone  get it here     gt  https   t co ec8lwvgkmy    cellphone  iphone  mobile  phone  https   t co kktkbwhybo"
"neutral","guess the word   get the idiom  trivia  quizgame for  iphone  amp   ipad  itunes  appstore   toucharcade  forum post https   t co 3padjwucex"
"positive","today  the fastest growing paid app in india    is  the big journey   it debut at the number 10 spot   more informa  https   t co mt96jawnl9"
"positive","tech facts                    smartphone  google  iphone  samsung  technology  apple  android  phone  tech  mobile  https   t co ibnbi5zvqq"
"neutral","   of  roses   iphone  samsung phone case click to get it   https   t co jehxwvpnqr    taylorswift13  taylorswift  https   t co vyhlvmw6pe"
"positive","how do you use  ifttt to streamline life or work  i just downloaded and i m curious what others find most useful   https   t co 6czlrgnmuj"
"neutral","           tfbjp  teamfollowback  teamfollowwack  iphone  1000aday  teamhitfollow  follow  openfollow  mustfollow  ipod  hdyf    follo  mdo"
"positive","   online games       e onlinegames  com       play number of free  online  games    action   sports   puzzle    https   t co 4hx3g885zv"
"positive","rt  techinrl  mynt wireless charging pad review  https   t co crcbkbhuku   mynt  wireless  qi  iphone  android  iphonexr  review  airpods2 "
"positive"," apple shows off  iphone xr xs portrait mode  depthcontrol with comical new  alejandro  ad   https   t co 9lv0io1exl"
"neutral","256gb apple iphone xs max for  1059 at gazelle   190 off  no contract  30 day return   apple  iphone  iphonexsmax https   t co zvrmph2wq2"
"neutral","ireland celtic cross  iphone case  https   t co 6ttdiev5dw via  redbubble  irish  celtic  ireland  irishpride  iphones  cases  dublin"
"neutral","flat  iphone x mockup for adobe xd https   t co gtiaezjtj9  mockups  iphonex"
"positive","what i want from my next  iphone   longer charger lead   longer battery life   shorter contract   unbreakable screen "
"positive","what you should know about protecting vision           https   t co ysojskr17i        computer  glasses  vision  https   t co zb2vwhitf7"
"positive","love  tattoo  art   blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker  texting https   t co nwkz7sms7v"
"positive","true love  giving your partner their own fingerprint unlock on your phone  iphone  love  unlock  partner  trust  relationshipgoals"
"neutral","we look back at the history of  iphone in our  blog  which was your favourite    https   t co qftww03mrw"
"neutral","if your heading to day 2 of the  reiss sale  pop in with your  iphone  amp  we can  fix it whilst you  shop or bring in  https   t co qbezwp6loz"
"positive","price drop   santa naughty or nice sca  on sale for  iphone  ipad  0 99  gt  gt  free https   t co q0cakpvucv https   t co 6sy8obmqpx"
"neutral"," wallpapers  homescreen  lockscreen    wallpaper    iphonexsmax     iphonexr     iphonexs     iphonex   iphone     https   t co xhlmhbf9t9"
"neutral","low on your iphone inventory  apple iphone xr   30 units   grade c  log in now and place your bids    apple  iphone  https   t co 9he0mioyzy"
"neutral","samsung   galaxy tab a tablette tactile 9 7   16 go  android lollipop  wifi  https   t co bjanytsoei  iphone   ipad   huawei   smartphone"
"neutral","butterfly exhibit          butterfly  butterflies  museum  americanmuseumofnaturalhistorynyc  naturephotography  https   t co 4b4wc6v6zw"
"neutral"," towhee app for ipad  wifi scalp camera  anyty    airmicro    proscope mobile  can be used  https   t co xor9ysznzp  ipad  iphone"
"positive","save 20  sitewide here https   t co kacxezasxz  redbubble use code stuff at checkout  expires expires april 8  2019  https   t co qppjd7l70j"
"neutral","independent repair  enablement  would probably push the overall consumer s cost of using the ecosystem up  and the  https   t co uul0vyu6h3"
"positive","a small selection of pics from our wonderful mini break to dubrovnik    small  selection  pics  pictures  photo  https   t co fwps21us0q"
"positive","hey guys  sports  amp  fitness in https   t co rpgttodmsn  shopping  price  money  coupon  tv  car  video  aws  prime  https   t co ywud8v4kwh"
"positive"," bible verse found with words of jesus each day by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 8dezjkqyey"
"positive","rt  paulbutlerbw  loving the idea that the latest  iphone update includes the ability for  siri to play videos from your ios device onto  a "
